"FRDM-MCXC444  Revised: Wednesday, March 13, 2024",,,,,,,,,,
SCH-93440 PDF: SPF-93440           Revision: A,,,,,,,,,,
,,,,,,,,,,
NXP Semiconductors,,,,,,,,,,
6501 William Cannon Drive West,,,,,,,,,,
"Austin, TX 78735-8598",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Bill Of Materials            May 29,2024      16:10:20",Page1,,,,,,,,,
,,,,,,,,,,
Item,Quantity,AgilePN,Description,MFG,MFG_PN,VALUE,ASSY_OPT,FIND#,PRE_APN,Reference
36,8,470-75557,RES MF 10K 1/16W 5% 0402,BOURNS,CR0402-JW-103GLF,10K,,,,"R1,R9,R15,R35,R36,R41,R42,R49"
37,4,470-30315,RES MF 470 OHM 1/16W 5% 0402,PANASONIC,ERJ2GEJ471X,470,,,,"R2,R23,R25,R44"
38,1,470-80934,RES MF 1.0M 1/10W 5% 0603,BOURNS,CR0603-JW-105ELF,1M,DNP,,,R3
39,25,470-75394,RES MF ZERO OHM 1/16W 5% 0402,YAGEO AMERICA,RC0402JR-070RL,0,,,,"R4,R5,R6,R7,R8,R10,R11,R12,R13,R14,R16,R17,R18,R19,R20,R28,R37,R38,R39,R40,R54,R68,R69,R82,R83"
40,1,470-30384,RES MF 680 OHM 1/10W 1% 0603,BOURNS,CR0603-FX-6800ELF,680,,,,R22
41,3,470-75408,RES MF 2.0K 1/10W 5% 0603,BOURNS,CR0603-JW-202ELF,2.0K,,,,"R24,R58,R59"
42,6,470-80911,RES MF 4.7K OHM 1/16W 1% 0402,YAGEO,RC0402FR-074K7L,4.7K,,,,"R26,R27,R29,R32,R33,R34"
43,1,470-75557,RES MF 10K 1/16W 5% 0402,BOURNS,CR0402-JW-103GLF,10K,DNP,,,R30
44,1,470-76240,RES MF 100K 1/16W 1% 0402,NIC COMPONENTS CORP,NRCL04F1003TRF,100K,DNP,,,R31
45,7,470-75394,RES MF ZERO OHM 1/16W 5% 0402,YAGEO AMERICA,RC0402JR-070RL,0,DNP,,,"R43,R72,R73,R74,R75,R78,R79"
46,2,470-75790,RES MF 33.0 OHM 1/16W 1% 0402,THYE MING TECH CO LTD,CR-02FL6---33R,33,,,,"R45,R47"
47,4,470-30914,RES MF 5.1K  1/16W 1% 0402,YAGEO AMERICA,RC0402FR-075K1L,5.1K,,,,"R46,R48,R55,R56"
48,1,470-75591,RES MF 100 OHM 1/16W 5% 0402,BOURNS,CR0402-JW-101GLF,100,,,,R50
49,3,470-76237,RES 510 OHMS 1/16W 5% RC0402 ROHS,YAGEO AMERICA,RC0402JR-07510RL,510,,,,"R51,R52,R53"
50,1,470-76103,RES MF 20K 1/16W 1% 0402,WALSIN TECHNOLOGY CORP.,WR04X2002FTL,20K,DNP,,,R57
51,3,470-76240,RES MF 100K 1/16W 1% 0402,NIC COMPONENTS CORP,NRCL04F1003TRF,100K,,,,"R60,R80,R81"
52,3,470-83212,RES MF 1K 1/16W 1% AEC-Q200 0402,STACKPOLE ELECTRONICS,RMCF0402FT1K00,1K,,,,"R61,R65,R66"
53,4,470-83212,RES MF 1K 1/16W 1% AEC-Q200 0402,STACKPOLE ELECTRONICS,RMCF0402FT1K00,1K,DNP,,,"R62,R63,R64,R67"
54,2,470-75451,RES MF 330 OHM 1/10W 5% 0603,BOURNS,CR0603-JW-331ELF,330,,,,"R70,R71"
55,2,470-83213,RES MF 2.2K 1/16W 1% 0402,Bourns Inc.,CR0402-FX-2201GLF,2.2K,DNP,,,"R76,R77"
56,3,510-78664,SW SPST NO MOM 50mA 12V SMT,C&K,PTS820 J25M SMTR LFS,PTS820 J25M SMTR LFS,,,,"SW1,SW2,SW3"
57,12,211-76643,"TEST POINT PAD 40MIL DIA SMT, NO PART TO ORDER",NOTACOMPONENT,NOTACOMPONENT,TPAD_040,,,,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12"
58,1,TMP-CIP-16800,IC MCU 256KB FLASH 48MHZ 1.71-3.6V LQFP64,NXP SEMICONDUCTOR,MCXC444VLH,MCXC444VLH,,,344-10026,U1
59,1,TMP-CIP-7425,IC ACCELEROMETER 3-AXIS 12BIT 1.71-3.6V AEC-Q100 DFN10,NXP SEMICONDUCTORS,FXLS8974CFR3,FXLS8974CFR3,,,312-83141,U2
60,1,315-80827,IC VREG LDO  3.3V 0.7A 1.7-6.0V SOT-89-5,TOREX,XC6227C331PR-G,XC6227C331PR-G,,,,U3
61,2,480-78843,DIODE TVS ARRAY 3 5.5V SLP1616P6,SEMTECH CORP,RClamp0854P.TCT,RClamp0854P.TCT,DNP,,,"U4,U6"
62,1,344-02410,IC MCU ARM FLASH 640KB SRAM 320KB 1.8-3.6V VFBGA 98,NXP SEMICONDUCTOR,LPC55S69JEV98,LPC55S69JEV98,,,,U5
63,1,230-77653,XTAL 32.768KHZ 12.5PF 20PPM 3.2X1.5MM SMT,ABRACON CORPORATION,ABS07-32.768KHZ-T,32.768KHZ,,,,Y1
64,1,230-78366,XTAL 16MHZ 8PF AEC-Q200 SMT,Kyocera International Inc. Electronic Components,CX3225GA16000D0PTVCC,16MHz,,,,Y2
